state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z
Nordrhein-Westfalen,148,Siegen-Wittgenstein,280800,253300,27500,9,5700240,56721,23366,15163,5,160964,17160,0.10660768867572873,no,0,10,0.15754780958545037,0.26274173267458173,-0.07671095165297377,-0.11935074752895257,1.3325628652727866,0.11721823527442694,0.9940630311186949,-0.23067133429621609,-0.27927460568020757,0.2708866817799675,-0.2979037658140303,-0.38406036694682716
Nordrhein-Westfalen,149,Olpe – Märkischer Kreis I,280600,250000,30600,10,3142720,64818,25863,15433,5,151288,13847,0.09152741790492307,no,0,10,0.15226649159158526,0.14557852333594992,0.0891525966950976,0.06555015149258542,-0.4707788821466784,0.38522883087166704,2.0612201723440773,-0.19118921518530435,-0.27927460568020757,-0.212472705715484,-0.6933449931527421,-0.660154581579623
Nordrhein-Westfalen,150,Märkischer Kreis II,272000,241000,31000,11,2312000,76160,24680,18224,6,144207,16682,0.11568093088407637,no,0,10,-0.07483018214461469,-0.17395750213304595,0.1105543448690423,0.2504510505141234,-1.0565307262833021,0.7606488846278603,1.5556347105620878,0.2169389123648981,0.13207074948423594,-0.5662002607852744,-0.3549580690642278,-0.21794467050081148
Sachsen,151,Nordsachsen,197600,192100,5500,2,1679600,5335,18348,16598,8,116556,31302,0.26855760321218985,yes,1,13,-2.0394804758624376,-1.9101032405145904,-1.2538071012199319,-1.4136570406797184,-1.5024444712659688,-1.583657702154223,-1.1505082683082046,-0.020831182725259266,0.954761459813123,-1.9474911272214803,1.3900919592158707,2.58096825510913
Sachsen,152,Leipzig I,275200,254800,20399,7,7540480,22291,16542,22841,8,159937,33289,0.20813820441798958,yes,1,13,0.009670905757227148,0.3159977369194144,-0.4566454861109269,-0.48915254557202853,2.630140838180602,-1.0224143207849747,-1.9223487957623657,0.8920831491614888,0.954761459813123,0.21958344790669043,1.6272612072454573,1.4747914024385194
Sachsen,153,Leipzig II,285200,263700,21500,7,7814480,23101,16542,23671,8,173798,27769,0.15977744277839792,yes,1,13,0.2737368054504829,0.6319833621054214,-0.39773717426214417,-0.48915254557202853,2.8233419231351413,-0.995603331229119,-1.9223487957623657,1.0134541079098471,0.954761459813123,0.9120022645741618,0.9683914291260219,0.5893877709748407
Sachsen,154,Leipzig-Land,258399,253100,5299,2,2248079,7235,19319,17054,6,159392,42824,0.26867094960851234,yes,1,13,-0.43398621231741186,0.25564093210860406,-1.264561479677339,-1.4136570406797184,-1.1016022830401602,-1.5207677266528328,-0.7355264564820748,0.045849729550947224,0.13207074948423594,0.1923582653741335,2.765363260573141,2.5830434356380305
Sachsen,155,Meißen,245200,238600,6599,2,2697200,8091,19013,17654,7,150919,49618,0.3287723878371842,yes,1,13,-0.78252679332254,-0.2591671089247782,-1.1950057981120188,-1.4136570406797184,-0.7849210258289644,-1.4924341376901014,-0.8663034229277965,0.13358777201963998,0.5434161046486795,-0.23090590269624273,3.5762982737150693,3.6833989689200193
Sachsen,156,Bautzen I,259300,254100,5200,2,1063129,8297,18623,17891,6,158833,52040,0.3276397222239711,yes,1,13,-0.4101938747550495,0.2911449349384925,-1.2698584123503904,-1.4136570406797184,-1.937126464123669,-1.4856155403462663,-1.0329799487899907,0.16824429879477362,0.13207074948423594,0.16443372035450168,3.8653893249116766,3.662661780067478
Sachsen,157,Görlitz,260000,251000,9000,3,1950000,11700,17483,26520,10,153713,50553,0.3288791448999109,yes,1,13,-0.3917092617765216,0.18108252616583834,-1.0665418046979158,-1.2287561416581805,-1.3117817947268906,-1.372976284224566,-1.5201882551564048,1.4300635795653565,1.77745217014201,-0.09133313206144618,3.687900310407401,3.6853535099118884
Sachsen,158,Sächsische Schweiz-Osterzgebirge,247400,240800,6599,2,2894580,7174,18735,15833,6,154371,54746,0.3546391485447396,yes,1,13,-0.7244322953900239,-0.18105830269902365,-1.1950057981120188,-1.4136570406797184,-0.6457457333168222,-1.5227868258662984,-0.9851138695680273,-0.13269718687284252,0.13207074948423594,-0.05846309516892788,4.188378748750661,4.156975543982101
