state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id,total_n_z,germans_n_z,foreigner_n_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,votes_total_z,afd_votes_z,afd_prop_z
Mecklenburg-Vorpommern,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,248800,241300,7500,2338720,8956,18081,17664,145108,25686000,0.17701298343302918,1,8,-0.687463069432968,-0.16330630128407944,-1.1467983603502083,-1.0376900949329908,-1.4638026488434157,-1.2646175821677068,0.13505007272745154,-0.521191289295671,0.7197635762595757,0.904941326553194
Mecklenburg-Vorpommern,14,Rostock – Landkreis Rostock II,271600,261200,10400,2688840,14938,16879,24172,162306,25170000,0.15507744630512735,1,8,-0.08539281813234492,0.5432233550307003,-0.9916356860891093,-0.790815774260424,-1.2657985259753548,-1.7783231823891363,1.0867153733712056,0.3379255716124288,0.6581735752614545,0.5033387964712335
Mecklenburg-Vorpommern,15,Vorpommern-Rügen – Vorpommern-Greifswald I,292300,282300,10000,3244530,9645,17287,34783,167411,32881000,0.19640883812891627,1,8,0.4612235942326945,1.2923578147413461,-1.0130374342630541,-0.39899128193054095,-1.4409967577273854,-1.6039538937948408,2.6383626544300367,0.5929431070779393,1.5785621366888034,1.2600465730557857
Mecklenburg-Vorpommern,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,273300,264000,9300,2241060,9018,16955,31976,154807,35597000,0.2299443823599708,1,8,-0.04050161518449145,0.6426345629543879,-1.0504904935674573,-1.1065514743368605,-1.4617504496428442,-1.7458426286313755,2.2278948457473358,-0.036682949142882317,1.9027451651982936,1.8740255849367329
Mecklenburg-Vorpommern,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,255600,249600,6000,2172600,6645,17802,26071,142477,27389000,0.1922345361005636,1,8,-0.5078982576415542,0.13137692220399455,-1.227054916002501,-1.1548235410375458,-1.5402967190453698,-1.3838554045152767,1.3644062777846182,-0.6526214824023817,0.9230344516467855,1.183622173409774
Hamburg,18,Hamburg-Mitte,350100,278400,71700,3921120,99078,23596,24857,174340,13950000,0.08001606057129747,0,6,1.9875244944597128,1.1538922037047814,2.288182221567915,0.07808142635191072,1.5192343891230495,1.0923594438066555,1.1868829718562965,0.9390775837166313,-0.6810508650465281,-0.8709080362548297
Hamburg,19,Hamburg-Altona,260300,222800,37500,2915360,73664,23596,18481,145076,8034000,0.055377870909040776,0,6,-0.38378728478572394,-0.8201303536370154,0.45833275269564355,-0.6310934758520217,0.6780313168112972,1.0923594438066555,0.2545200405556548,-0.5227898321232707,-1.38718738811801,-1.321991556448891
Hamburg,20,Hamburg-Eimsbüttel,252900,223200,29700,2832480,71570,23596,17955,155141,9120000,0.058785234077387664,0,6,-0.5791960505587331,-0.80592875250506,0.040998663303722045,-0.6895332784835261,0.6087199438113441,1.0923594438066555,0.17760302332476752,-0.01999815837981072,-1.257561920901034,-1.2596085082774562
Hamburg,21,Hamburg-Nord,279800,252900,26900,3133759,79183,23596,19865,177403,10919000,0.06154912825600469,0,6,0.1311412196161248,0.24854013154262636,-0.10881357391389081,-0.4770974037608303,0.8607101456492826,1.0923594438066555,0.45690245851677275,1.0920881049959377,-1.0428324406769645,-1.2090062873908975
Hamburg,22,Hamburg-Wandsbek,314700,277200,37500,3524640,89060,23596,22343,171156,16740000,0.09780551076211176,0,6,1.0527312095455874,1.1112874003089153,0.45833275269564355,-0.20148195380420517,1.1876387182951935,1.0923594438066555,0.8192605739124739,0.7800225723704637,-0.34803516197529183,-0.5452133352889456
