state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_c,germans_n_c,foreigner_n_c,for_prop_c,pop_move_n_c,pop_migr_background_n_c,income_c,unemp_n_c,unemp_prop_c,votes_total_c,afd_votes_c,afd_prop_c
Niedersachsen,27,Oldenburg – Ammerland,285300,266800,18500,6,4850100,39656,19758,17688,6,174668,12624,0.07227425744841642,no,0,9,10466.230769230751,20900.34113712376,-10433.732441471573,-3.6454849498327757,1039715.9765886287,-13523.662207357862,-1282.0301003344466,947.5451505016717,0.32107023411371216,19126.67224080267,-7031.832775919731,-0.05531081510185715
Niedersachsen,28,Delmenhorst – Wesermarsch – Oldenburg-Land,294200,270400,23800,8,4795460,44424,20248,19417,6,168818,16393,0.09710457415678422,no,0,9,19366.23076923075,24500.34113712376,-5133.732441471573,-1.6454849498327757,985075.9765886287,-8755.662207357862,-792.0301003344466,2676.5451505016717,0.32107023411371216,13276.672240802669,-3262.832775919731,-0.030480498393489347
Niedersachsen,29,Cuxhaven – Stade II,234700,222500,12199,5,2863339,25816,20649,13612,5,140716,12652,0.08991159498564484,no,0,9,-40133.76923076925,-23399.65886287624,-16734.732441471573,-4.645484949832776,-947045.0234113713,-27363.662207357862,-391.0301003344466,-3128.4548494983283,-0.6789297658862878,-14825.327759197331,-7003.832775919731,-0.03767347756462873
Niedersachsen,30,Stade I – Rotenburg II,252000,234400,17599,7,3250800,33012,21075,13356,5,151639,13479,0.08888874234200964,no,0,9,-22833.76923076925,-11499.65886287624,-11334.732441471573,-2.6454849498327757,-559584.0234113713,-20167.662207357862,34.969899665553385,-3384.4548494983283,-0.6789297658862878,-3902.327759197331,-6176.832775919731,-0.038696330208263935
Niedersachsen,31,Mittelems,308200,278900,29300,9,3513480,57941,18813,11095,3,178827,9699,0.05423677632572262,no,0,9,33366.23076923075,33000.34113712376,366.2675585284269,-0.6454849498327757,-296904.0234113713,4761.337792642138,-2227.0301003344466,-5645.454849498328,-2.678929765886288,23285.67224080267,-9956.832775919731,-0.07334829622455094
Niedersachsen,32,Cloppenburg – Vechta,302600,275100,27500,9,3540420,71111,20024,14222,4,162519,13146,0.08088900374725416,no,0,9,27766.23076923075,29200.34113712376,-1433.732441471573,-0.6454849498327757,-269964.0234113713,17931.337792642138,-1016.0301003344466,-2518.4548494983283,-1.6789297658862878,6977.672240802669,-6509.832775919731,-0.04669606880301941
Niedersachsen,33,Diepholz – Nienburg I,244700,229300,15399,6,4086490,32789,21380,11011,4,147273,12433,0.08442144860225567,no,0,9,-30133.76923076925,-16599.65886287624,-13534.732441471573,-3.6454849498327757,276105.9765886287,-20390.662207357862,339.9698996655534,-5729.454849498328,-1.6789297658862878,-8268.327759197331,-7222.832775919731,-0.0431636239480179
Niedersachsen,34,Osterholz – Verden,248200,233700,14500,5,4144939,35492,22019,10920,4,151790,14671,0.09665327096646682,no,0,9,-26633.76923076925,-12199.65886287624,-14433.732441471573,-4.645484949832776,334554.9765886287,-17687.662207357862,978.9698996655534,-5820.454849498328,-1.6789297658862878,-3751.327759197331,-4984.832775919731,-0.030931801583806748
Niedersachsen,35,Rotenburg I – Heidekreis,214900,199600,15300,7,5608890,27507,19984,12249,5,126097,11669,0.09253987010000238,no,0,9,-59933.76923076925,-46299.65886287624,-13633.732441471573,-2.6454849498327757,1798505.9765886287,-25672.662207357862,-1056.0301003344466,-4491.454849498328,-0.6789297658862878,-29444.32775919733,-7986.832775919731,-0.03504520245027119
Niedersachsen,36,Harburg,248100,232300,15799,6,3299730,29027,24050,10420,4,160858,16048,0.09976501013316093,no,0,9,-26733.76923076925,-13599.65886287624,-13134.732441471573,-3.6454849498327757,-510654.0234113713,-24152.662207357862,3009.9698996655534,-6320.454849498328,-1.6789297658862878,5316.672240802669,-3607.832775919731,-0.027820062417112643
