state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Brandenburg,58,Oberhavel – Havelland II,295800,287100,8699,5590620,15085,18806,19818,182563,33982,0.18613848370151673,1,4
Brandenburg,59,Märkisch-Oderland – Barnim II,269300,262100,7199,4712750,11041,18742,18851,167678,34702,0.20695618984005057,1,4
Brandenburg,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,220300,213200,7100,3326530,10133,18930,15421,126138,22631,0.17941460939605827,1,4
Brandenburg,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,310500,294100,16399,6489450,19561,19217,18630,193865,26133,0.13479998968354268,1,4
Brandenburg,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,300900,290200,10699,5205570,14443,19225,17452,184910,38900,0.2103726137039641,1,4
Brandenburg,63,Frankfurt (Oder) – Oder-Spree,240500,226100,14400,5916300,11543,18268,19721,137987,30475,0.22085413843333068,1,4
Brandenburg,64,Cottbus – Spree-Neiße,217300,209100,8200,1216879,10647,18308,19122,130027,34902,0.2684211740638483,1,4
Brandenburg,65,Elbe-Elster – Oberspreewald-Lausitz II,200900,196800,4099,462070,5424,17818,19286,121144,30564,0.2522947896717955,1,4
Sachsen-Anhalt,66,Altmark,201400,194600,6800,1933440,5840,17755,19938,109864,18419,0.16765273428966723,1,14
Sachsen-Anhalt,67,Börde – Jerichower Land,265200,257600,7599,2439839,7160,19054,19094,148085,27947,0.18872269304791167,1,14
Sachsen-Anhalt,68,Harz,257399,248500,8899,3963959,7207,17779,19562,141530,23859,0.16857909983749028,1,14
Sachsen-Anhalt,69,Magdeburg,292400,276200,16199,4532200,18713,16976,29240,160769,26053,0.16205238572112782,1,14
Sachsen-Anhalt,70,Dessau – Wittenberg,211400,204400,7000,1331820,6764,18156,19237,121666,24310,0.1998093140236385,1,14
Sachsen-Anhalt,71,Anhalt,268800,260700,8100,1962240,8870,17535,24729,145518,32346,0.222281779573661,1,14
Sachsen-Anhalt,72,Halle,270400,253300,17099,5191679,17305,16697,26499,150299,26735,0.17787876166840763,1,14
Sachsen-Anhalt,73,Burgenland – Saalekreis,231800,222700,9100,1668960,6954,17949,20398,129199,31780,0.24597713604594462,1,14
Sachsen-Anhalt,74,Mansfeld,246700,239700,7000,1430860,6414,17920,25163,137927,32982,0.23912649444996267,1,14
Berlin,75,Berlin-Mitte,354300,250000,104300,4145309,85386,18594,33304,149420,12319,0.08244545576228082,1,3
Berlin,76,Berlin-Pankow,314000,283000,31000,3673799,75674,18594,29516,186409,23291,0.12494568395302802,1,3
Berlin,77,Berlin-Reinickendorf,252100,216700,35400,2949569,60756,18594,23697,134913,18484,0.1370068117972323,1,3
Berlin,78,Berlin-Spandau – Charlottenburg Nord,262400,222200,40199,3070079,63238,18594,24665,130658,18469,0.14135376325980806,1,3
Berlin,79,Berlin-Steglitz-Zehlendorf,286500,258700,27800,3352049,69046,18594,26930,178717,15879,0.08884996950485964,1,3
Berlin,80,Berlin-Charlottenburg-Wilmersdorf,277700,227200,50500,3249089,66925,18594,26103,156816,12418,0.07918834812774207,1,3
Berlin,81,Berlin-Tempelhof-Schöneberg,333700,279200,54500,3904289,80421,18594,31367,179097,17122,0.09560182470951495,1,3
Berlin,82,Berlin-Neukölln,318700,246200,72500,3728789,76806,18594,29957,140810,15666,0.11125630281940203,1,3
Berlin,83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,339800,273300,66500,3975660,81891,18594,31941,171840,10865,0.0632274208566108,1,3
Berlin,84,Berlin-Treptow-Köpenick,251200,237100,14099,2939039,60539,18594,23612,155337,26259,0.16904536588192123,1,3
Berlin,85,Berlin-Marzahn-Hellersdorf,256300,239400,16900,2998710,61768,18594,24092,136924,29600,0.21617831789898045,1,3
Berlin,86,Berlin-Lichtenberg,273300,241400,31900,3197610,65865,18594,25690,146900,24585,0.16735874744724302,1,3
Nordrhein-Westfalen,87,Aachen I,245900,207300,38599,2606540,60491,19652,20163,139784,8269,0.059155554283752076,0,10
