state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id
Nordrhein-Westfalen,116,Duisburg II,248200,200000,48199,19,3425160,77438,16761,32514,13,101888,15719,0.15427724560301506,no,0,10
Nordrhein-Westfalen,117,Oberhausen – Wesel III,278400,245100,33299,12,3145920,62361,18676,27840,10,148852,18559,0.12468089108644828,no,0,10
Nordrhein-Westfalen,118,Mülheim – Essen I,252400,221900,30500,12,4442240,60323,21940,23725,9,141660,16200,0.11435832274459974,no,0,10
Nordrhein-Westfalen,119,Essen II,246200,200500,45699,18,4530079,60318,20046,29297,11,109215,16339,0.14960399212562378,no,0,10
Nordrhein-Westfalen,120,Essen III,253300,226700,26600,10,4660720,62058,20046,30142,11,152409,12735,0.08355805759502391,no,0,10
Nordrhein-Westfalen,121,Recklinghausen I,217900,197200,20700,9,2331529,43797,19382,22879,10,122884,14776,0.12024348165749812,no,0,10
Nordrhein-Westfalen,122,Recklinghausen II,249000,224200,24800,10,3137400,50049,19382,26145,10,139515,17386,0.12461742464967925,no,0,10
Nordrhein-Westfalen,123,Gelsenkirchen,260399,216100,44299,17,3619560,76557,16135,36716,14,118066,20113,0.17035386986939507,no,0,10
Nordrhein-Westfalen,124,Steinfurt I – Borken I,272200,245200,27000,9,3565819,42463,20497,11976,4,153570,9718,0.06328058865663867,no,0,10
Nordrhein-Westfalen,125,Bottrop – Recklinghausen III,268000,242800,25199,9,3644799,57620,19296,25460,9,150528,18719,0.12435560161564625,no,0,10
Nordrhein-Westfalen,126,Borken II,260300,242400,17900,6,3383900,38264,20527,10151,3,157053,9401,0.05985877378973977,no,0,10
Nordrhein-Westfalen,127,Coesfeld – Steinfurt II,244800,231200,13600,5,2986560,29131,21996,8078,3,155826,9506,0.06100394029237739,no,0,10
Nordrhein-Westfalen,128,Steinfurt III,254100,234800,19299,7,4091010,41164,20477,12196,4,151387,10341,0.06830837522376426,no,0,10
Nordrhein-Westfalen,129,Münster,310000,280700,29300,9,7099000,63240,22127,17050,5,190122,9392,0.04939985903788094,no,0,10
Nordrhein-Westfalen,130,Warendorf,277400,252900,24499,8,4271960,58531,22079,15811,5,162139,12024,0.07415859231893622,no,0,10
Nordrhein-Westfalen,131,Gütersloh I,322100,284400,37700,11,5507910,86322,23294,15138,4,175031,15082,0.08616759316921002,no,0,10
Nordrhein-Westfalen,132,Bielefeld – Gütersloh II,344500,299900,44600,12,3617250,112651,21228,29627,8,184603,16478,0.08926182131384647,no,0,10
Nordrhein-Westfalen,133,Herford – Minden-Lübbecke II,301100,275900,25200,8,4486390,77382,22131,17162,5,167031,18097,0.10834515748573618,no,0,10
Nordrhein-Westfalen,134,Minden-Lübbecke I,264100,246500,17600,6,3908680,63119,21652,13997,5,149668,15825,0.10573402464120586,no,0,10
Nordrhein-Westfalen,135,Lippe I,221400,204200,17200,7,4760100,58006,22582,15276,6,127537,14147,0.11092467284003858,no,0,10
Nordrhein-Westfalen,136,Höxter – Lippe II,273400,254800,18599,6,3909620,59054,21226,16130,5,158102,15192,0.09608986603585028,no,0,10
Nordrhein-Westfalen,137,Paderborn – Gütersloh III,331400,303900,27500,8,5567519,93123,20240,19221,5,185897,18483,0.09942602624033739,no,0,10
Nordrhein-Westfalen,138,Hagen – Ennepe-Ruhr-Kreis I,287600,246800,40800,14,4572840,81103,21467,27034,9,148785,17622,0.11843935880633129,no,0,10
Nordrhein-Westfalen,139,Ennepe-Ruhr-Kreis II,227400,207700,19700,8,3229080,44570,24236,14781,6,136424,13190,0.09668386794112473,no,0,10
Nordrhein-Westfalen,140,Bochum I,276200,244700,31500,11,3286779,64907,19422,27343,9,155734,15189,0.09753168864859312,no,0,10
Nordrhein-Westfalen,141,Herne – Bochum II,244400,214000,30400,12,3128320,63788,18311,28105,11,126558,16994,0.13427835458841006,no,0,10
Nordrhein-Westfalen,142,Dortmund I,283800,248100,35700,12,3150180,82018,18206,32637,11,154923,15197,0.09809389180431569,no,0,10
Nordrhein-Westfalen,143,Dortmund II,302400,246100,56299,18,3356639,87393,18206,34775,11,142416,15510,0.10890630266262218,no,0,10
Nordrhein-Westfalen,144,Unna I,253600,232000,21599,8,3017840,58835,20283,20795,8,149581,14690,0.09820766006377815,no,0,10
Nordrhein-Westfalen,145,Hamm – Unna II,321800,283700,38100,11,6242920,85277,18884,28640,8,169703,19067,0.1123551145236089,no,0,10
Nordrhein-Westfalen,146,Soest,303000,275900,27100,8,7605300,61812,21376,18180,6,173076,16165,0.09339827590191592,no,0,10
