Jahr,Bundesland,Wert,Indikator
2017,Brandenburg/Berlin,75.18,frost_days
2018,Brandenburg/Berlin,76.31,frost_days
2019,Brandenburg/Berlin,62.08,frost_days
2020,Brandenburg/Berlin,53.64,frost_days
2021,Brandenburg/Berlin,85.15,frost_days
2022,Brandenburg/Berlin,71.83,frost_days
2023,Brandenburg/Berlin,64.9,frost_days
2024,Brandenburg/Berlin,52.21,frost_days
2025,Brandenburg/Berlin,82.11,frost_days
1951,Deutschland,85.57,frost_days
1952,Deutschland,109.43,frost_days
1953,Deutschland,94.54,frost_days
1954,Deutschland,96.7,frost_days
1955,Deutschland,117.22,frost_days
1956,Deutschland,108.8,frost_days
1957,Deutschland,83.24,frost_days
1958,Deutschland,97.04,frost_days
1959,Deutschland,91.91,frost_days
1960,Deutschland,81.84,frost_days
1961,Deutschland,72.64,frost_days
1962,Deutschland,105.31,frost_days
1963,Deutschland,112.49,frost_days
1964,Deutschland,99.82,frost_days
1965,Deutschland,100.55,frost_days
1966,Deutschland,83.28,frost_days
1967,Deutschland,77.05,frost_days
1968,Deutschland,100.34,frost_days
1969,Deutschland,115.26,frost_days
1970,Deutschland,105.06,frost_days
1971,Deutschland,89.62,frost_days
1972,Deutschland,92.17,frost_days
1973,Deutschland,100.8,frost_days
1974,Deutschland,55.22,frost_days
1975,Deutschland,78.47,frost_days
1976,Deutschland,98.31,frost_days
1977,Deutschland,71.34,frost_days
1978,Deutschland,92.76,frost_days
1979,Deutschland,101.19,frost_days
1980,Deutschland,103.61,frost_days
1981,Deutschland,99.06,frost_days
1982,Deutschland,86.69,frost_days
1983,Deutschland,83.11,frost_days
1984,Deutschland,95.85,frost_days
1985,Deutschland,107.96,frost_days
1986,Deutschland,89.52,frost_days
1987,Deutschland,97.81,frost_days
1988,Deutschland,72.73,frost_days
1989,Deutschland,70.33,frost_days
1990,Deutschland,61.3,frost_days
1991,Deutschland,92.48,frost_days
1992,Deutschland,71.53,frost_days
1993,Deutschland,88,frost_days
1994,Deutschland,59.9,frost_days
1995,Deutschland,91.57,frost_days
1996,Deutschland,118.69,frost_days
1997,Deutschland,88.99,frost_days
1998,Deutschland,74.83,frost_days
1999,Deutschland,73.08,frost_days
2000,Deutschland,55.14,frost_days
2001,Deutschland,86.54,frost_days
2002,Deutschland,67.66,frost_days
2003,Deutschland,101.43,frost_days
2004,Deutschland,87.74,frost_days
2005,Deutschland,93.36,frost_days
2006,Deutschland,89.79,frost_days
2007,Deutschland,61.2,frost_days
2008,Deutschland,76.91,frost_days
2009,Deutschland,84.75,frost_days
2010,Deutschland,113.75,frost_days
2011,Deutschland,83.31,frost_days
2012,Deutschland,78.82,frost_days
2013,Deutschland,98.66,frost_days
2014,Deutschland,56.81,frost_days
2015,Deutschland,73.65,frost_days
2016,Deutschland,82.78,frost_days
2017,Deutschland,76.17,frost_days
2018,Deutschland,77.35,frost_days
2019,Deutschland,69.74,frost_days
2020,Deutschland,62.51,frost_days
2021,Deutschland,89.36,frost_days
2022,Deutschland,71.44,frost_days
2023,Deutschland,65.49,frost_days
2024,Deutschland,52.02,frost_days
2025,Deutschland,82.9,frost_days
1951,Hessen,81.24,frost_days
1952,Hessen,105.71,frost_days
1953,Hessen,92.66,frost_days
1954,Hessen,91.58,frost_days
1955,Hessen,121.86,frost_days
1956,Hessen,106.64,frost_days
1957,Hessen,80.26,frost_days
1958,Hessen,91.49,frost_days
1959,Hessen,90.13,frost_days
1960,Hessen,75.92,frost_days
1961,Hessen,70.33,frost_days
1962,Hessen,107.98,frost_days
1963,Hessen,113.14,frost_days
1964,Hessen,97.3,frost_days
1965,Hessen,98.22,frost_days
1966,Hessen,75.2,frost_days
1967,Hessen,77.38,frost_days
1968,Hessen,101.31,frost_days
1969,Hessen,112.06,frost_days
1970,Hessen,102.65,frost_days
1971,Hessen,88.01,frost_days
1972,Hessen,94.03,frost_days
1973,Hessen,106.2,frost_days
1974,Hessen,50.98,frost_days
1975,Hessen,78.21,frost_days
1976,Hessen,95.37,frost_days
1977,Hessen,68.63,frost_days
1978,Hessen,88.04,frost_days
1979,Hessen,102,frost_days
1980,Hessen,94.89,frost_days
1981,Hessen,102.1,frost_days
1982,Hessen,88.76,frost_days
1983,Hessen,87.98,frost_days
1984,Hessen,89.9,frost_days
1985,Hessen,111.48,frost_days
1986,Hessen,86.05,frost_days
1987,Hessen,98.25,frost_days
1988,Hessen,72.34,frost_days
1989,Hessen,74.29,frost_days
1990,Hessen,61,frost_days
1991,Hessen,99.46,frost_days
1992,Hessen,73.09,frost_days
1993,Hessen,88.76,frost_days
1994,Hessen,62.12,frost_days
1995,Hessen,90.67,frost_days
1996,Hessen,110.27,frost_days
1997,Hessen,83.33,frost_days
1998,Hessen,77.22,frost_days
1999,Hessen,69.84,frost_days
2000,Hessen,54.75,frost_days
2001,Hessen,83.81,frost_days
2002,Hessen,61.35,frost_days
2003,Hessen,97.58,frost_days
2004,Hessen,89.46,frost_days
2005,Hessen,90.1,frost_days
2006,Hessen,88.98,frost_days
2007,Hessen,63.51,frost_days
2008,Hessen,85.22,frost_days
2009,Hessen,82.24,frost_days
2010,Hessen,112.27,frost_days
2011,Hessen,83.54,frost_days
2012,Hessen,76.44,frost_days
2013,Hessen,97.75,frost_days
2014,Hessen,54.68,frost_days
2015,Hessen,76.16,frost_days
2016,Hessen,81.58,frost_days
2017,Hessen,78.41,frost_days
2018,Hessen,78.53,frost_days
2019,Hessen,72.62,frost_days
2020,Hessen,64.93,frost_days
2021,Hessen,91.2,frost_days
2022,Hessen,68.77,frost_days
2023,Hessen,63.15,frost_days
2024,Hessen,52.32,frost_days
2025,Hessen,79.8,frost_days
1951,Mecklenburg-Vorpommern,74.85,frost_days
1952,Mecklenburg-Vorpommern,105.55,frost_days
1953,Mecklenburg-Vorpommern,84.26,frost_days
1954,Mecklenburg-Vorpommern,95.34,frost_days
1955,Mecklenburg-Vorpommern,111.79,frost_days
1956,Mecklenburg-Vorpommern,103.5,frost_days
1957,Mecklenburg-Vorpommern,76.16,frost_days
1958,Mecklenburg-Vorpommern,95.62,frost_days
1959,Mecklenburg-Vorpommern,74.71,frost_days
1960,Mecklenburg-Vorpommern,76.27,frost_days
1961,Mecklenburg-Vorpommern,62.9,frost_days
1962,Mecklenburg-Vorpommern,87.57,frost_days
1963,Mecklenburg-Vorpommern,110.09,frost_days
1964,Mecklenburg-Vorpommern,98.66,frost_days
1965,Mecklenburg-Vorpommern,97.3,frost_days
1966,Mecklenburg-Vorpommern,83.6,frost_days
1967,Mecklenburg-Vorpommern,64.59,frost_days
1968,Mecklenburg-Vorpommern,86.39,frost_days
1969,Mecklenburg-Vorpommern,120.21,frost_days
1970,Mecklenburg-Vorpommern,107.58,frost_days
1971,Mecklenburg-Vorpommern,73.15,frost_days
1972,Mecklenburg-Vorpommern,77.32,frost_days
1973,Mecklenburg-Vorpommern,77.94,frost_days
1974,Mecklenburg-Vorpommern,44.92,frost_days
1975,Mecklenburg-Vorpommern,62.3,frost_days
1976,Mecklenburg-Vorpommern,98.16,frost_days
1977,Mecklenburg-Vorpommern,66.96,frost_days
1978,Mecklenburg-Vorpommern,84.65,frost_days
1979,Mecklenburg-Vorpommern,97.32,frost_days
1980,Mecklenburg-Vorpommern,112.41,frost_days
1981,Mecklenburg-Vorpommern,85.23,frost_days
1982,Mecklenburg-Vorpommern,75.02,frost_days
1983,Mecklenburg-Vorpommern,69.09,frost_days
1984,Mecklenburg-Vorpommern,87.33,frost_days
1985,Mecklenburg-Vorpommern,96.35,frost_days
1986,Mecklenburg-Vorpommern,81.02,frost_days
1987,Mecklenburg-Vorpommern,94.75,frost_days
1988,Mecklenburg-Vorpommern,67.1,frost_days
