Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03153;Goslar;109372;80917;882;80035;27503;30573;5203;3968;0;4299;8285;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;615;80302;24948;25560;5625;4974;0;7300;8943;265;283;248;840;65;682;0;0;0;20;0;0;0;0;0;0;99;82;17;247;0;0;0;0;0;0;104
NI;03154;Helmstedt;73708;54912;634;54278;19269;20868;3141;2508;0;3022;5153;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259;573;54339;18892;16930;3444;3135;0;4311;5387;200;405;197;586;52;487;0;0;0;25;0;0;0;0;0;0;73;47;10;79;0;0;0;0;0;0;79
NI;03155;Northeim;108355;81737;757;80980;33063;29034;3882;4218;0;3684;7016;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;634;81103;26385;27031;4630;5513;0;7177;7719;209;345;271;776;52;593;0;0;0;13;0;0;0;0;0;0;102;96;13;108;0;0;0;0;0;0;70
NI;03157;Peine;103238;80046;711;79335;25608;33464;4207;4486;0;3895;7365;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;575;79471;24647;26916;4878;5612;0;6214;8203;324;230;281;780;51;758;0;0;0;55;0;0;0;0;0;0;123;94;12;187;0;0;0;0;0;0;106
NI;03158;Wolfenbüttel;96897;77351;678;76673;24292;31639;4445;4258;0;3522;7562;644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;530;76821;24161;23383;5435;6214;0;6992;7584;338;222;262;788;63;844;0;0;0;38;0;0;0;0;0;0;97;105;10;183;0;0;0;0;0;0;102
NI;03159;Göttingen;255274;196220;1711;194509;66367;68382;11151;20418;0;8907;14098;1400;0;1458;0;0;2159;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1426;194794;59462;56668;16165;21271;0;17504;15776;869;541;1159;1697;174;1990;0;0;0;83;0;0;0;0;0;0;445;347;74;305;0;0;0;0;0;0;264
NI;03241;Region Hannover;846165;653981;6080;647901;220297;225949;42436;50006;0;36316;56741;4424;0;4396;0;0;6569;0;0;0;398;0;0;0;0;0;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4649;649332;194416;178553;53488;68996;0;65187;61225;3325;1344;2416;5636;665;7863;0;0;0;330;0;0;0;0;0;0;1354;1307;299;1916;0;0;0;0;0;0;1012
NI;03251;Diepholz;169438;129956;1298;128658;56773;35207;6941;9981;0;9315;10441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;902;129054;48595;32722;8034;10570;0;13800;10867;419;313;580;1204;204;985;0;0;0;21;0;0;0;0;0;0;230;143;17;177;0;0;0;0;0;0;173
NI;03252;Hameln-Pyrmont;116772;87102;749;86353;28599;33014;5712;4827;0;4888;8483;830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631;86471;28191;26159;6274;6538;0;7444;9114;374;225;247;822;72;560;0;0;0;25;0;0;0;0;0;0;106;84;16;101;0;0;0;0;0;0;119
NI;03254;Hildesheim;218349;169613;1752;167861;60457;62448;8502;12691;0;9330;14433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1316;168297;54871;52077;10932;14806;0;13876;15695;593;468;453;1693;150;1445;0;0;0;56;0;0;0;0;0;0;320;304;32;305;0;0;0;0;0;0;221
NI;03255;Holzminden;56413;42094;458;41636;14042;16748;1946;2166;0;2619;3778;337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392;41702;12956;14191;2241;2778;0;4248;4012;145;137;120;370;25;264;0;0;0;7;0;0;0;0;0;0;68;32;8;49;0;0;0;0;0;0;51
NI;03256;Nienburg (Weser);94684;69420;572;68848;30880;20314;2901;5466;0;2898;6023;366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;485;68935;25803;19267;3605;5593;0;5840;6760;241;202;240;529;49;430;0;0;0;22;0;0;0;0;0;0;103;68;6;112;0;0;0;0;0;0;65
NI;03257;Schaumburg;124612;95595;806;94789;36940;32196;4447;7011;0;4611;8783;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;652;94943;31331;28823;5601;7660;0;8305;9752;361;257;317;1087;85;755;0;0;0;31;0;0;0;0;0;0;116;122;15;195;0;0;0;0;0;0;130
NI;03351;Celle;139291;104899;855;104044;45873;29399;4915;5500;0;5742;11369;0;0;1246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691;104208;38534;25222;5683;7522;0;11280;12234;280;286;672;909;80;943;0;0;0;41;0;0;0;0;0;0;126;118;13;160;0;0;0;0;0;0;105
NI;03352;Cuxhaven;158327;119766;1259;118507;49827;36594;7223;7411;0;5951;9900;0;0;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;878;118888;45137;33069;8074;8378;0;9638;10597;343;326;779;1157;95;780;0;0;0;23;0;0;0;0;0;0;123;82;15;151;0;0;0;0;0;0;121
